Settore Merceologico;Insegna;Ubicazione;Tipo Via;Via;Civico;Codice Via;ZD;Superficie vendita;Superficie altri usi;Superficie totale
non alimentare;;VIA PETITTI CARLO ILARIONE N. 6 (z.d. 8);VIA;PETITTI CARLO ILARIONE;6;7161;8;320;;320
non alimentare;;"VIA PLANA GIOVANNI ANTONIO N. 38 allo sportello in distribuz; isolato:325; accesso: accesso esterno; (z.d. 8)";VIA;PLANA GIOVANNI ANTONIO;38;7177;8;433;;433
non alimentare;;VIA PONTACCIO N. 3 (z.d. 1);VIA;PONTACCIO;3;143;1;300;;300
non alimentare;;"VIA PORTA CARLO N. 1 ; isolato:093; accesso: accesso esterno; (z.d. 1)";VIA;PORTA CARLO;1;1051;1;340;35;375
non alimentare;;"VIA PRINETTI LUIGI N. 44 ; isolato:281; accesso: accesso esterno; (z.d. 2)";VIA;PRINETTI LUIGI;44;2329;2;409;250;659
non alimentare;;VIA QUARENGHI GIACOMO N. 40 (z.d. 8);VIA;QUARENGHI GIACOMO;40;7478;8;390;;390
non alimentare;;"VIA ROSSI PELLEGRINO N. 15 ; isolato:182; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;15;1510;9;300;30;330
non alimentare;;"VIA ROSSI PELLEGRINO N. 93 ; isolato:153; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;93;1510;9;317;;317
non alimentare;;"VIA ROSSO DI SAN SECONDO N. 15 ; isolato:146; accesso: accesso esterno; (z.d. 3)";VIA;ROSSO DI SAN SECONDO;15;3009;3;570;75;645
non alimentare;;"VIA SAN BARNABA N. 27 ; isolato:201; (z.d. 1)";VIA;SAN BARNABA;27;3010;1;358;;358
non alimentare;;VIA SAN DAMIANO N. 4 (z.d. 1);VIA;SAN DAMIANO;4;351;1;485;;485
non alimentare;;"VIA SANDRI SANDRO N. 2 ; isolato:179; accesso: accesso esterno; (z.d. 1)";VIA;SANDRI SANDRO;2;1046;1;251;;251
non alimentare;;"VIA SAN GREGORIO N. 1 ; isolato:105; accesso: accesso esterno; (z.d. 3)";VIA;SAN GREGORIO;1;2123;3;1250;;1535
non alimentare;;"VIA SAN GREGORIO N. 48 ; isolato:069; accesso: accesso esterno; (z.d. 2)";VIA;SAN GREGORIO;48;2123;2;300;250;550
non alimentare;;"VIA SAN MARCO N. 26 ; isolato:177; accesso: accesso esterno; (z.d. 1)";VIA;SAN MARCO;26;1036;1;398;105;503
non alimentare;;"VIA SAN PIETRO ALL'ORTO N. 10 ;via san pietro all'orto 010; isolato:316; (z.d. 1)";VIA;SAN PIETRO ALL'ORTO;10;213;1;565;;815
non alimentare;;"VIA SAN SIRO N. 31 ; isolato:173; accesso: accesso interno; (z.d. 7)";VIA;SAN SIRO;31;6282;7;350;;350
non alimentare;;"VIA SANTA CECILIA N. 4 ;via santa cecilia 004; isolato:190; accesso: accesso esterno; (z.d. 1)";VIA;SANTA CECILIA;4;349;1;255;;255
non alimentare;;"VIA SANTA CROCE N. 8 ; isolato:212; accesso: accesso esterno; (z.d. 1)";VIA;SANTA CROCE;8;5188;1;270;130;400
non alimentare;;"VIA SANTA MARIA VALLE N. 1 ;via santa maria valle 001; isolato:397; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA VALLE;1;535;1;294;;294
non alimentare;;VIA SANTA MARIA VALLE N. 3 (z.d. 1);VIA;SANTA MARIA VALLE;3;535;1;390;510;900
non alimentare;;"VIA SANT' ANDREA N. 11 ;via sant' andrea 011; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA;SANT' ANDREA;11;222;1;277;;300
non alimentare;;"VIA SANT' ANDREA N. 5 ;via sant' andrea 005; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA;SANT' ANDREA;5;222;1;331;;331
non alimentare;;"VIA SANT' ANDREA N. 9 ;via sant' andrea 009; isolato:260; accesso: accesso esterno; (z.d. 1)";VIA;SANT' ANDREA;9;222;1;364;;364
non alimentare;;"VIA SANT' ANDREA num.010/a; (z.d. 1)";VIA;SANT' ANDREA;;222;1;290;;290
non alimentare;;"VIA SANTO SPIRITO N. 19 ;via santo spirito 019; isolato:258; accesso: accesso esterno; (z.d. 1)";VIA;SANTO SPIRITO;19;228;1;337;;500
non alimentare;;"VIA SARPI FRA' PAOLO N. 4 ; isolato:068; accesso: accesso interno; (z.d. 8)";VIA;SARPI FRA' PAOLO;4;7210;8;693;;693
non alimentare;;"VIA SARPI FRA' PAOLO N. 60 ; isolato:071; accesso: accesso esterno; (z.d. 8)";VIA;SARPI FRA' PAOLO;60;7210;8;251;;251
non alimentare;;VIA SAVONA N. 25 (z.d. 5);VIA;SAVONA;25;5122;6;265;;265
non alimentare;;"VIA SCANINI ALESSANDRO N. 9 ; isolato:080; accesso: accesso esterno; (z.d. 7)";VIA;SCANINI ALESSANDRO;9;6755;7;512;;512
non alimentare;;"VIA SCIESA AMATORE N. 21 ; isolato:056; accesso: accesso esterno; (z.d. 4)";VIA;SCIESA AMATORE;21;3072;4;450;60;510
non alimentare;;"VIA SIRTORI GIUSEPPE N. 26 ; isolato:145; accesso: accesso interno; (z.d. 3)";VIA;SIRTORI GIUSEPPE;26;2180;3;1530;;1530
non alimentare;;"VIA SISMONDI GIANCARLO N. 70 loc,interno; isolato:247; accesso: accesso interno; (z.d. 4)";VIA;SISMONDI GIANCARLO;70;3256;4;385;;385
non alimentare;;"VIA SODERINI LUIGI N. 54 ; isolato:069; accesso: accesso esterno; (z.d. 6)";VIA;SODERINI LUIGI;54;6675;6;800;740;1540
non alimentare;;"VIA SOLFERINO N. 11 ; isolato:172; accesso: accesso interno; (z.d. 1)";VIA;SOLFERINO;11;1028;1;347;;347
non alimentare;;"VIA SOLFERINO N. 39 ; isolato:006; accesso: accesso interno; (z.d. 1)";VIA;SOLFERINO;39;1028;1;1200;8;1208
non alimentare;;"VIA SOLONE N. 8 ; isolato:071; accesso: accesso esterno; (z.d. 2)";VIA;SOLONE;8;2346;2;500;;500
non alimentare;;"VIA SORESINA GIOVANNI BATTISTA N. 14 ; isolato:240; accesso: accesso esterno; (z.d. 7)";VIA;SORESINA GIOVANNI BATTISTA;14;6207;7;3000;40;3040
non alimentare;;"VIA SPALLANZANI LAZZARO N. 5 ; isolato:141; accesso: accesso esterno; (z.d. 3)";VIA;SPALLANZANI LAZZARO;5;2153;3;878;;1183
non alimentare;;"VIA SPERONARI N. 8 ;via speronari 008; isolato:447; accesso: accesso esterno; (z.d. 1)";VIA;SPERONARI;8;517;1;701;;863
non alimentare;;"VIA STRIGELLI GAETANO num.013/int; isolato:078; accesso: accesso esterno; (z.d. 4)";VIA;STRIGELLI GAETANO;;3214;4;270;;270
non alimentare;;"VIA TAGIURA N. 19 ; isolato:042; accesso: accesso esterno; (z.d. 6)";VIA;TAGIURA;19;6125;6;294;;294
non alimentare;;"VIA TAZZOLI ENRICO N. 11 loc. interno; isolato:293; accesso: accesso interno; (z.d. 9)";VIA;TAZZOLI ENRICO;11;1118;9;376;;376
non alimentare;;"VIA TEANO N. 6 ; isolato:006; accesso: accesso esterno; (z.d. 9)";VIA;TEANO;6;1632;9;403;;403
non alimentare;;"VIA TESSA DELIO N. 1 sup. vendita computata 1/10; isolato:245; (z.d. 1)";VIA;TESSA DELIO;1;1020;1;600;;600
non alimentare;;"VIA TIMAVO N. 32 ; isolato:239; accesso: accesso interno; (z.d. 2)";VIA;TIMAVO;32;1174;2;840;346;1186
non alimentare;;"VIA TOCE N. 11 ; isolato:207; accesso: accesso esterno; (z.d. 9)";VIA;TOCE;11;1325;9;380;8;388
non alimentare;;"VIA TOLSTOI LEONE N. 87 ; isolato:041; accesso: accesso esterno; (z.d. 6)";VIA;TOLSTOI LEONE;87;5133;6;762;;762
non alimentare;;"VIA TORINO N. 21 ;via torino 021; isolato:446; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;21;543;1;270;;270
non alimentare;;VIA TORINO N. 23 (z.d. 1);VIA;TORINO;23;543;1;298;;397
non alimentare;;"VIA TORINO N. 2 p.terra-interrato e soppalco; (z.d. 1)";VIA;TORINO;2;543;1;850;;850
non alimentare;;VIA TORINO N. 44 (z.d. 1);VIA;TORINO;44;543;1;395;;621
non alimentare;;"VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a; isolato:249; accesso: accesso esterno; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;79;7157;8;559;;743
non alimentare;;"VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a; isolato:249; accesso: accesso esterno; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;79;7157;8;1012;;1102
non alimentare;;"VIA TRAIANO MARCO ULPIO N. 79 pii portello comp u2-lotto 2a; isolato:249; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;79;7157;8;375;;503
non alimentare;;"VIA VALSOLDA N. 11 ; isolato:022; accesso: accesso interno; (z.d. 6)";VIA;VALSOLDA;11;5288;6;1150;;2150
non alimentare;;"VIA VALTELLINA N. 17 ; isolato:105; accesso: accesso interno; (z.d. 7)";VIA;VALTELLINA;17;1188;9;358;;358
non alimentare;;"VIA VARANINI LUIGI N. 28 ; isolato:321; accesso: accesso esterno; (z.d. 2)";VIA;VARANINI LUIGI;28;2288;2;400;;400
non alimentare;;"VIA VENINI GIULIO E CORRADO N. 46 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;46;2258;2;251;22;273
non alimentare;;"VIA VENINI GIULIO E CORRADO N. 87 ; isolato:320; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;87;2258;2;270;;270
non alimentare;;"VIA VENINI GIULIO E CORRADO num.038/2; isolato:346; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;87;2258;2;345;25;370
non alimentare;;"VIA VERRI PIETRO N. 8 ;via verri pietro 008; isolato:315; accesso: accesso esterno; (z.d. 1)";VIA;VERRI PIETRO;8;223;1;267;;364
non alimentare;;"VIA VICO GIAN BATTISTA N. 14 ; isolato:225; accesso: accesso esterno; (z.d. 1)";VIA;VICO GIAN BATTISTA;14;6219;1;307;15;322
non alimentare;;"VIA VIPACCO N. 36 ; isolato:026; accesso: accesso esterno; (z.d. 2)";VIA;VIPACCO;36;2444;2;312;;312
non alimentare;;VIA VISCONTI DI MODRONE UBERTO N. 12 (z.d. 1);VIA;VISCONTI DI MODRONE UBERTO;12;361;1;265;;265
non alimentare;;"VIA VODICE N. 3 ; isolato:252; accesso: accesso esterno; (z.d. 7)";VIA;VODICE;3;6552;7;375;;375
non alimentare;;"VIA VOLTERRA N. 12 sopralluogo spac 07/09/2006; isolato:250; accesso: accesso esterno; (z.d. 7)";VIA;VOLTERRA;12;6260;7;540;110;650
non alimentare;;"VIA WITTGENS FERNANDA N. 5 ;via wittgens fernanda 005; isolato:275; accesso: accesso esterno; (z.d. 1)";VIA;WITTGENS FERNANDA;5;597;1;502;;502
non alimentare;;"VIA ZANELLA GIACOMO N. 36 ; isolato:253; accesso: accesso esterno; (z.d. 4)";VIA;ZANELLA GIACOMO;36;3257;4;378;;378
non alimentare;;"VIA ZANELLA GIACOMO N. 61 ; isolato:246; accesso: accesso esterno; (z.d. 4)";VIA;ZANELLA GIACOMO;61;3257;4;1500;455;1955
non alimentare;;"VLE ABRUZZI N. 51 ; isolato:029; accesso: accesso esterno; (z.d. 3)";VLE;ABRUZZI;51;2177;3;292;;292
non alimentare;;"VLE ABRUZZI num.013/a; isolato:067; accesso: accesso interno; (z.d. 3)";VLE;ABRUZZI;;2177;3;300;;300
non alimentare;;"VLE AFFORI N. 19 ; isolato:145; accesso: accesso esterno; (z.d. 9)";VLE;AFFORI;19;1545;9;450;150;600
non alimentare;;"VLE CASSALA N. 14 ; isolato:153; accesso: accesso esterno; (z.d. 6)";VLE;CASSALA;14;5275;6;566;240;806
non alimentare;;"VLE CATERINA DA FORLI' num.024/2; isolato:020; accesso: accesso interno; (z.d. 7)";VIA;MANZOTTI LUIGI;;1300;9;350;;350
non alimentare;;"VLE CERTOSA N. 135 ; isolato:061; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;135;7174;8;1000;;1000
non alimentare;;"VLE CERTOSA N. 36 ; isolato:316; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;36;7174;8;374;326;700
non alimentare;;"VLE CERTOSA N. 9 ; isolato:335; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;9;7174;8;600;;600
non alimentare;;"VLE CIRENE N. 22 ; isolato:142; accesso: accesso interno; (z.d. 4)";VLE;CIRENE;22;4085;4;420;;420
non alimentare;;VLE COL DI LANA N. 6 (z.d. 5);VLE;COL DI LANA;6;5198;5;470;;470
non alimentare;;"VLE DI PORTA VERCELLINA N. 16 ; isolato:237; accesso: accesso esterno; (z.d. 1)";VLE;DI PORTA VERCELLINA;16;6213;1;388;;0
non alimentare;;"VLE DORIA ANDREA N. 24 ; isolato:016; accesso: accesso interno; (z.d. 3)";VLE;DORIA ANDREA;24;2230;3;322;;322
non alimentare;;"VLE EGINARDO N. 15 ; isolato:209; accesso: accesso esterno; (z.d. 8)";VLE;EGINARDO;15;6366;8;826;;2350
non alimentare;;"VLE ESPINASSE CARLO N. 106 ; isolato:194; accesso: accesso interno; (z.d. 8)";VLE;ESPINASSE CARLO;106;7390;8;305;;305
non alimentare;;"VLE FAMAGOSTA N. 44 ; isolato:077; accesso: accesso esterno; (z.d. 6)";VLE;FAMAGOSTA;44;5353;6;430;;430
non alimentare;;"VLE FORLANINI ENRICO num.063/75; (z.d. 4)";VIA;BRIZI EUGENIO;4;4186;4;1350;;1350
non alimentare;;"VLE GORIZIA N. 14 ; isolato:056; accesso: accesso interno; (z.d. 6)";VLE;GORIZIA;14;5156;6;400;400;402
non alimentare;;"VLE JENNER EDOARDO N. 29 spaccio interno; isolato:100; (z.d. 9)";VLE;JENNER EDOARDO;29;1230;9;400;;900
non alimentare;;"VLE LANCETTI VINCENZO N. 17 ; isolato:103; accesso: accesso esterno; (z.d. 9)";VLE;LANCETTI VINCENZO;17;1221;9;1000;4600;5600
non alimentare;;"VLE LIGURIA num.028; isolato:156; accesso: accesso esterno; (z.d. 6)";VLE;LIGURIA;;5264;6;361;;361
non alimentare;;"VLE MARTINI ENRICO N. 9 sup.di vendita computata al10%; (z.d. 4)";VLE;MARTINI ENRICO;9;4175;4;755;;755
non alimentare;;"VLE MONTE NERO N. 32 ; isolato:134; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;32;3062;4;910;30;940
non alimentare;;"VLE MONZA N. 107 ; isolato:294; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;107;2274;2;868;;868
non alimentare;;"VLE MONZA N. 113 ; isolato:293; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;113;2274;2;455;100;555
non alimentare;;"VLE MONZA N. 16 ; isolato:352; accesso: accesso interno; (z.d. 2)";VLE;MONZA;16;2274;2;560;40;600
non alimentare;;"VLE MONZA N. 237 ; isolato:099; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;237;2274;2;414;;414
non alimentare;;"VLE MONZA N. 244 fallimento del 30/07/2009; isolato:065; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;244;2274;2;470;;470
non alimentare;;"VLE MONZA N. 289 ; isolato:064; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;289;2274;2;272;;378
non alimentare;;"VLE MONZA N. 289 ; isolato:064; accesso: area ap.rec.; (z.d. 2)";VLE;MONZA;289;2274;2;584;;584
non alimentare;;"VLE MONZA N. 40 ; isolato:332; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;40;2274;2;300;;300
non alimentare;;"VLE MONZA N. 9 ; isolato:346; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;9;2274;2;387;;387
non alimentare;;"VLE MONZA num.065/67; isolato:322; accesso: accesso esterno; (z.d. 2)";VIA;PALMANOVA;65;2390;2;590;350;940
non alimentare;;"VLE PASUBIO N. 13 ; isolato:318; accesso: accesso esterno; (z.d. 1)";VLE;PASUBIO;13;1112;1;300;;300
non alimentare;;VLE ROMOLO N. 9 (z.d. 6);VLE;ROMOLO;9;5284;6;615;;1073
non alimentare;;"VLE SABOTINO N. 4 ; isolato:171; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;4;4046;5;350;;350
non alimentare;;"VLE SABOTINO N. 4 ; isolato:171; accesso: accesso interno; (z.d. 5)";VLE;SABOTINO;4;4046;5;350;;350
non alimentare;;"VLE STELVIO N. 3 ; isolato:215; accesso: accesso esterno; (z.d. 9)";VLE;STELVIO;3;1227;9;651;1849;2500
non alimentare;;"VLE STELVIO N. 47 ; isolato:204; accesso: accesso esterno; (z.d. 9)";VLE;STELVIO;47;1227;9;600;;1000
non alimentare;;"VLE TESTI FULVIO N. 260 ; isolato:045; accesso: accesso esterno; (z.d. 9)";VLE;TESTI FULVIO;260;1441;9;530;;2770
non alimentare;;"VLE TIBALDI N. 3 ; isolato:160; accesso: accesso esterno; (z.d. 5)";VLE;TIBALDI;3;5234;5;280;;280
non alimentare;;"VLE UMBRIA N. 126 ; isolato:260; accesso: accesso interno; (z.d. 4)";VLE;UMBRIA;126;3145;4;490;;490
non alimentare;2f climatizzazione;"VIA INGANNI ANGELO N. 64 ; isolato:055; accesso: accesso esterno; (z.d. 6)";VIA;INGANNI ANGELO;64;6672;6;264;;300
non alimentare;abbigliamento bambino;"VIA BALZARETTI GIUSEPPE N. 28 loc. interno; isolato:109; accesso: accesso esterno; (z.d. 3)";VIA;BALZARETTI GIUSEPPE;28;2197;3;268;;268
non alimentare;a. bellomi;"VIA LOMELLINA N. 64 ; isolato:219; accesso: accesso interno; (z.d. 4)";VIA;LOMELLINA;64;3280;4;400;500;900
non alimentare;aber crombie e fich;"CSO MATTEOTTI GIACOMO N. 12 ;cso matteotti giacomo 012; isolato:316; accesso: accesso esterno; (z.d. 1)";CSO;MATTEOTTI GIACOMO;12;218;1;1496;;2186
non alimentare;ader;"VIA SANTA MARIA ALLA PORTA N. 1 ;vlo santa maria alla porta 001; isolato:346; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA ALLA PORTA;1;620;1;310;150;460
non alimentare;a.foppapedretti l albero;"VIA MAMBRETTI ANTONIO N. 9 ; isolato:118; accesso: accesso esterno; (z.d. 8)";VIA;MAMBRETTI ANTONIO;9;7455;8;506;;506
non alimentare;aica concessionaria fiat;"VLE FORLANINI ENRICO num.031; isolato:164; accesso: accesso esterno; (z.d. 4)";VIA;SISMONDI GIANCARLO;70;3256;4;400;;400
non alimentare;alberto germani sportrend;"CSO VERCELLI N. 3 ; isolato:236; accesso: accesso interno; (z.d. 7)";CSO;VERCELLI;3;6193;7;464;;606
non alimentare;alviero martini;"CSO MATTEOTTI GIACOMO N. 1 ;cso matteotti giacomo 001; isolato:362; (z.d. 1)";CSO;MATTEOTTI GIACOMO;1;218;1;400;;535
non alimentare;angelo cattaneo arredamen;"CSO SAN GOTTARDO N. 19 ; isolato:095; accesso: accesso interno; (z.d. 5)";CSO;SAN GOTTARDO;19;5203;5;300;200;500
non alimentare;antiquario;"VIA SAN PAOLO N. 1 ;cso vittorio emanuele ii 003*; accesso: accesso esterno; (z.d. 1)";VIA;SAN PAOLO;1;212;1;406;;406
non alimentare;arc linea;"PZA MENTANA N. 3 ;pza mentana 003; isolato:349; accesso: accesso esterno; (z.d. 1)";PZA;MENTANA;3;560;1;257;;257
non alimentare;argenteria dabbene;"LGO TREVES CLAUDIO N. 2 ; isolato:247; accesso: accesso esterno; (z.d. 3)";LGO;TREVES CLAUDIO;2;1026;1;280;180;460
non alimentare;armani/armani jeans;"VIA MANZONI ALESSANDRO N. 31 ;via manzoni alessandro 031; isolato:254; accesso: accesso esterno; (z.d. 1)";VIA;MANZONI ALESSANDRO;31;230;1;409;;409
non alimentare;armani/emporio armani;"VIA MANZONI ALESSANDRO N. 31 ;via manzoni alessandro 031; isolato:254; accesso: accesso esterno; (z.d. 1)";VIA;MANZONI ALESSANDRO;31;230;1;402;;402
non alimentare;armani/emporio armani;"VIA MANZONI ALESSANDRO N. 31 ;via manzoni alessandro 031; isolato:254; accesso: accesso esterno; (z.d. 1)";VIA;MANZONI ALESSANDRO;31;230;1;465;;465
non alimentare;armani giorgio retail srl;"VIA MANZONI ALESSANDRO N. 31 ;via manzoni alessandro 031; isolato:254; accesso: accesso esterno; (z.d. 1)";VIA;MANZONI ALESSANDRO;31;230;1;257;;257
non alimentare;armani junior;"VIA DURINI N. 24 ;via durini 023; isolato:317; accesso: accesso esterno; (z.d. 1)";VIA;DURINI;24;313;1;748;;900
non alimentare;arona spa-alfaromeo fiat;"VIA ARONA num.015; isolato:311; accesso: accesso esterno; (z.d. 8)";VIA;ARONA;;7169;8;300;;300
non alimentare;arredamenti mobili;"VIA PRINETTI LUIGI N. 44 ; isolato:282; accesso: accesso esterno; (z.d. 2)";VIA;PRINETTI LUIGI;44;2329;2;659;;659
non alimentare;artemide;"CSO MONFORTE N. 19 ;via santa cecilia 000; isolato:190; accesso: accesso esterno; (z.d. 1)";CSO;MONFORTE;19;348;1;320;;397
non alimentare;aspesi;"VIA MONTE NAPOLEONE N. 13 ;via monte napoleone 013; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA;MONTE NAPOLEONE;13;219;1;580;;660
non alimentare;autogiolli;"VIA MEDA GIUSEPPE N. 27 ; isolato:002; accesso: accesso esterno; (z.d. 5)";VIA;MEDA GIUSEPPE;27;5242;5;450;;450
non alimentare;autogrill;"VIA FOSCOLO UGO num.001/3; isolato:471; accesso: accesso esterno; (z.d. 1)";VIA;FOSCOLO UGO;;205;1;400;;400
non alimentare;autoplanet;"VIA DEI MISSAGLIA N. 89 art.2, c.6 dgr 15701/03; isolato:086; accesso: accesso esterno; (z.d. 5)";VIA;DEI MISSAGLIA;89;5340;5;1323;;5292
non alimentare;autoriparazioni salvioni;"VIA ARIMONDI GIUSEPPE N. 55 ; isolato:308; accesso: accesso esterno; (z.d. 8)";VIA;ARIMONDI GIUSEPPE;55;7179;8;256;300;556
non alimentare;autosport milano;"VIA MESSINA N. 43 ; isolato:020; accesso: accesso esterno; (z.d. 8)";VIA;MESSINA;43;7211;8;350;100;450
non alimentare;avalon;"VIA SETTEMBRINI LUIGI N. 20 ; isolato:056; accesso: accesso esterno; (z.d. 3)";VIA;SETTEMBRINI LUIGI;20;2127;3;400;;400
non alimentare;b 612;"VIA VASARI GIORGIO N. 2 ; isolato:165; accesso: accesso esterno; (z.d. 4)";VIA;VASARI GIORGIO;2;4070;4;823;;823
non alimentare;baby mix srl.;"VLE REGINA MARGHERITA N. 9 ; isolato:036; accesso: accesso esterno; (z.d. 1)";VLE;REGINA MARGHERITA;9;3059;1;475;170;645
non alimentare;balloon;"VIA GIULINI GIORGIO N. 2 ;via giulini giorgio 002; isolato:371; accesso: accesso esterno; (z.d. 1)";VIA;GIULINI GIORGIO;2;613;1;720;;1014
non alimentare;banner;"VIA SANT' ANDREA num.008/a; isolato:261; accesso: accesso esterno; (z.d. 1)";VIA;SANT' ANDREA;;222;1;386;;0
non alimentare;bardelli;"CSO MAGENTA N. 13 ;cso magenta 013; isolato:343; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;13;604;1;747;86;833
non alimentare;bassetti;"VIA BOTTA CARLO N. 7 ; isolato:163; accesso: accesso esterno; (z.d. 4)";VIA;BOTTA CARLO;7;4069;4;600;;600
non alimentare;bassetti;"VIA PROCACCINI GIULIO CESARE N. 32 ; isolato:054; accesso: accesso esterno; (z.d. 8)";VIA;PROCACCINI GIULIO CESARE;32;7204;8;300;;300
non alimentare;bellani;"VIA MOROSINI EMILIO N. 7 ; isolato:046; accesso: accesso esterno; (z.d. 4)";VIA;MOROSINI EMILIO;7;3073;4;265;;265
non alimentare;belmonte camiciaio italia;"VIA SETTEMBRINI LUIGI N. 11 ; isolato:073; accesso: accesso esterno; (z.d. 2)";VIA;SETTEMBRINI LUIGI;11;2127;2;295;;295
non alimentare;benetton;"LGO CORSIA DEI SERVI N. 11 tac. rinnovabile ogni 6 anni;lgo corsia dei servi 011; isolato:360; accesso: accesso esterno; (z.d. 1)";LGO;CORSIA DEI SERVI;11;234;1;916;;943
non alimentare;bernardi abbigliamento;"VIA BASSI UGO N. 5 ; isolato:257; accesso: accesso esterno; (z.d. 9)";VIA;BASSI UGO;5;1143;9;371;;371
non alimentare;bershka;"CSO VITTORIO EMANUELE II N. 22 ;cso vittorio emanuele ii 000; accesso: accesso esterno; (z.d. 1)";CSO;VITTORIO EMANUELE II;22;214;1;1341;;2652
non alimentare;bershka;"VIA SPADARI N. 1 ;via spadari 001; isolato:440; accesso: accesso esterno; (z.d. 1)";VIA;SPADARI;1;518;1;384;;695
non alimentare;betta e cereda srl;"VIA MARCO BRUTO num.016/18; isolato:055; accesso: accesso esterno; (z.d. 4)";VIA;MARCO BRUTO;;3322;4;1200;;2700
non alimentare;blue basic;"VIA TORINO N. 51 ;via torino 051; isolato:397; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;51;543;1;330;;394
non alimentare;boggi;"VIA DURINI N. 28 ;via durini 028; isolato:318; accesso: accesso esterno; (z.d. 1)";VIA;DURINI;28;313;1;650;;650
non alimentare;boggi milano e brian berr;"VIA CARETTA ANNIBALE N. 1 ; isolato:008; accesso: accesso esterno; (z.d. 3)";VIA;CARETTA ANNIBALE;1;2241;3;410;;410
non alimentare;borghi;"CSO VERCELLI N. 38 ; isolato:215; accesso: accesso esterno; (z.d. 7)";CSO;VERCELLI;38;6193;7;350;;350
non alimentare;boss hugo boss;"CSO MATTEOTTI GIACOMO N. 11 ;cso matteotti giacomo 011; isolato:263; accesso: accesso esterno; (z.d. 1)";CSO;MATTEOTTI GIACOMO;11;218;1;420;;420
non alimentare;brandy;"VIA S. GIOV. SUL MURO N. 18 in distribuzione;via s. giov. sul muro 018; isolato:291; accesso: accesso esterno; (z.d. 1)";VIA;S. GIOV. SUL MURO;18;609;1;380;;380
non alimentare;brico io;"VIA PITAGORA N. 7 ; isolato:015; accesso: accesso esterno; (z.d. 2)";VIA;PITAGORA;7;2405;2;1200;;1200
non alimentare;brico io;"VIA QUARENGHI GIACOMO N. 23 centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;1125;;1125
non alimentare;bruno castoldi;"CSO LODI N. 6 ; isolato:192; accesso: accesso esterno; (z.d. 5)";CSO;LODI;6;4068;5;1106;;1106
non alimentare;buffwtti;"FOR BUONAPARTE N. 53 ;for buonaparte 053; isolato:238; accesso: accesso esterno; (z.d. 1)";FOR;BUONAPARTE;53;711;1;400;1000;1400
non alimentare;burberry italy retail lim;"VIA BIGLI N. 2 ;via verri pietro 007*; accesso: accesso esterno; (z.d. 1)";VIA;BIGLI;2;224;1;750;;1082
non alimentare;buscemi dischi;"CSO MAGENTA N. 31 ;cso magenta 031; isolato:341; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;31;604;1;258;;258
non alimentare;cai;"VIA MEDA GIUSEPPE N. 16 ; isolato:160; accesso: accesso esterno; (z.d. 5)";VIA;MEDA GIUSEPPE;16;5242;5;294;;294
non alimentare;caractere;"VIA PASSARELLA N. 4 ;gll passarella 004*; isolato:386; accesso: accesso esterno; (z.d. 1)";VIA;PASSARELLA;4;298;1;300;;480
non alimentare;cargo (high-tech srl);"VIA MEUCCI ANTONIO num.041; accesso: accesso esterno; (z.d. 2)";VIA;MEUCCI ANTONIO;;2497;2;1244;;3600
non alimentare;carretti hi-tech;"VIA LOSANNA N. 46 ; isolato:031; accesso: accesso esterno; (z.d. 8)";VIA;LOSANNA;46;7190;8;325;;325
